Local Names,Translation,Location,Real Names
Limende,_,Yahisuli,_
Liombo,Broom; Flywhisk,Opala,Wautier
Lipumbu,Elegant,Province Orientale,_
Lokesa,_,Basoko,Dekeyzer
Lokonga,venomous snake,"Ekonda, Opala",_
Lombolembo,_,Kisangani,Jamsin
Longo-Longo,tall-tall,"Kilo, Moto",_
Longwango,_,Lac Leopold II,G.O. Scioz
Longwani,_,Katanga,_
Loponge,onomatopoea,Basoko,P. Ponthier
Luanda,Predatory trade,Kazembe,M. Caetano Pereira
Lubuku,Builder,Kasongo,Van Malderen
Lukwako,Go back where you came from,Zimba,_
Lumandemulu,Fine collector,Lac Leopold II,P.J. Van de Moere
Madami,Madam,Opala,generic
Mafuta,fat,Katanga,_
Mafuta Mingi,A lot of fat,"Mbesa, Beugamisa, Kilo","Bell, M. Polis"
Maine mingi,A lot of fat,Basoko,_
Maina,Fat,_,_
Makasi,"Force, power, strong ",Aruwimi,_
Makisi,_,Katanga,_
Makpatu,Chaser of women,Basoko,_
Makupkup,Of the old village,Kuba,_
Malakolo,_,Zimba,_
Mala-Mala,Main roads; Officials on the moove,Kasai,_
Malanda,Follower,Uele,Van Hende
Malenge,_,Ubangi,_
Malonga Longa,_,Katanga,_
Malu-Malu,"Rush, rush",Lac Leopold II,_
Mandevu Mingi,Beard,Province Orientale,_
Mangbe ,Lightning; Scrapers of the heaps; White cannibals, Buta,_
Mangema ,_,Zimba,_
Matala-Tala," Mirror, eyeglasses, scrutiny; Witchcraft", Buta,_
Matamba-Tamba, Enslavers, Opala, any agent
Matcho Kali,Angry eyes; Harshness, Opala,_
Matuba, Words, Territoire des cataractes,_
Mayala, Oppressor, Territoire des cataractes,_
Mbavu Munene, Big chest, everywhere,_
Mbavu Nguvu, Strong chest, everywhere,_
Mfumu Mantese, Prince who has things to say ,,A. De Meulemeester
Miere-Miere, Many knives; Ferocious and wild warrior,  Kazembe , Mayo-Monteiro
Miso Minei,Leopard's eyes; Theif,Aruwimi,_
Miti,Trees,Kasongo,Middage
Moke,"Small, short",Aruwimi,generic
Moke-Moke,"Small, small; verry small",Uele-Itimbiri,Verstracten
Molanda,Follower,Uele,Hinde
Mondele Madami,Man who is always with is wife,,"Bandundu, Bulungu"
Mondele Mboka,Village white man; Native son; Head of the post,Aruwimi,_
Mondele na Kawa,White man of coffee,Province Orientale,generic
Mondele na Loso,White man of rice,Province Orientale,generic
Mondele na Mbila,White man of palm oil tree,Province Orientale,generic
Mondele Ngolo,Strong white man,Bas Congo,_
Monganga na Mabele,Earth healer; Mine prospector,Province Orientale,_
Monginda(Bonginda),_,Tomba ,Durieux
Mpimbo Mingi,Much whipping; hippopotamus-hide whip,Equateur,_
Msirkanda,_,Province Orientale,De Meulemeester
Mudiata ou Nyata,_,Katanga,Thiry
Mukalenge Leka,Prince Leka,_,Legat
Mundele Kikufi,Short white man,Territoire des cararactes,_
Mundele Mbisi,_,Bas Congo,_
Mundele Ngolo,Strong white man,Bas Congo,_
Mundele Nioka,White man who is like a snake,Bas Congo,_
Mundele Nzazi,_,Bas Congo,_
Munyololo,"Chain, rope",Eastern congo,_
Mupe,Priest,Eastern Congo,generic
Mupenda Batu,He who loves people,"Irumu, Ituri, Eastern Congo",generic
Mupenda Kula,He who likes to eat,Yanonge,_
Muzungu wa Pamba,White man of cotton,Kongolo,_
Mwambe ,Eight; Eight lashes,Basoko,_
Mwana Mputu,Child of Europe,Equateur,H. Bombeeck 
Mwandami,Madam,_,generic
Mwendo-Mwendo,Travel; travel; Voyage at the foot of the world ,Kazembe,M. Caetano Pereira
Nabira,_,Uele,G. Miani
Nafranki,He has white beard and long hair,Uele,G. Miani
"Ndeke, Ndeke-Ndeke",Bird; Officials on the move,_,generic
Ndevu,Bearded white man,Eastern Congo,_
Ndjole-Ndjole,Bearded white man,Ekonda,_
Ndoki,Witch,Kasongo,Elter
Ngangabuka,Priest; God’s healer,Kasai,_
Nganga Nzambe,Priest; God’s healer,"Equateur, Province Orientale",_
Ngolo Mingi,Much Power,Bas Congo ,_
Ngona na batu,Nightly talking slit gong,"Equateur, Province Orientale",_
Ngongo Leteta,Bad Official,Eastern Congo,generic
Nialakowomubu,_,Lac Leopold II,J.M.F. Tumers
Niangeniange, Kisangani ,_,G. Geerearts
Nkake , Lightning; White cannibals  ,"White Province Orientale, Équateur",_
Nkangobeko,_,Inongo,Cloetens
Nkoso,Parrot,_,_
Nkoyi(Nkoi),Leopard,Lac Leopold II,H. Dupuis Shaw
Nsoni Mingi,Very Shameful,_,J. Fievez
Ntange,Bed ,Lac Leopold II,_
Nyimi-Nyimi,Red ant; lack of civilization,Kasai,_
Nyoka,Snake; Resentment,Katanga,Wilson
Nzoku,Elephant,_,_
Nzokumasi,_,Bas Congo ,_
Ondele W'Ekonge,White men of urena lobata , Opala,_
Padiri,Priest,Eastern Congo ,_
Paipo,Pipe ,"Kilo, Moto",_
Pamba,_,Lac Leopold II,J. Fievez
Panzi,Lying side ,Tomba ,J. Fievez
Pebe,_, Tomba ,Clark
Pete ya Mai ya Sombe,Green stars; cassava leaves color,Province Orientale,_
Pole-Pole,Very calm; slow walker; lazy walker,Eastern Congo,generic
Rumaliza,Destroyer,Eastern Congo,_
Sango,Father,"Eastern Congo, Equator",_
Sato,_,_,G. Casati
Sesa,_,Basoko,Chaltin
Sikitele,Secretary,"Bandundu, Equator Province Orientale",generic
Sikoti,Much whipping; hippopotamus-hide whip,_,generic
Simba Bulaya,Europe's lion,"Katanga, Eastern Congo",_
Singa,_,Basoko,Van Wert
Situka,_,Kisangani,Foerch
Sokele(Lokele),_,Lac Leopold II,L. A. Borms
Soso Aleli,Rooster has crowed,Province Orientale,_
Soso Mombi,White feathered chicken,Chez Gobila,Janssen
Soso Mpembe,White feathered chicken,Lac Leopold II,Janssen
Sukuma,Push,Nyangwe,Losange
Tange,Bed,Equateur,J. Fievez
Tata,Father,Equateur,J. Fievez
Tomansangu,Send news; News maker,Bas Congo ,_
Tomilali,Court,Opala,_
Tomo,_,Katanga,_
Toro,_,Basoko,Lund
Tshienda Bitekete,Lazy Walker,Kasai,_
Tshiwayawaya,Balance in breeze,Kasai,_
Tshoma-Tshoma,He who burns people,Aruwimi,C. Van de Laniotte
Tshombe Bululu,Bitter cassava leaves,Kasai,Gillian
Tuku-Tuku,Motorcycle,Kongolo,generic
Tuku-Tuku,Motorcycle,Kisangani,V. Rue
Tumbaku,"Tobacco, sticky mouth and stained teeth",Kisangani,N. Tobback
Tumba Lombe,Home Burner,Equateur,_
Tumpa Mokono,Throw hand,Moto,_
Vandebunduki,"Vande, the gunman",Lac Leopold II,L. Van den Brooke
Vandenbuluki,"Vande, the witch",Lac Leopold II,L. Van den Brooke
Vansina,Sit down,_,J. Vansina
Wai-Wai,Big troublemaker,Kamina,generic
Yamba-Yamba,"Defecate, defecate",Kasongo,Bosoni
